SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today,Wheat.AboveGroundWtAtFlowering,Wheat.AboveGroundWtAtMaturity,Wheat.Grain.HI,Wheat.Grain.Number,Wheat.Grain.Size,Wheat.Grain.Wt,Wheat.Leaf.LAIAtFlagLeaf,Wheat.Leaf.LAIAtFlowering,Wheat.Phenology.FlagLeafDAS,Wheat.Phenology.FloweringDAS,Wheat.Phenology.MaturityDAS,Wheat.Phenology.TerminalSpikeletDAS,Wheat.SowingDate,Wheat.SowingDate.Date,Wheat.Stem.PercentWSCAtFlowering,Wheat.Stem.StemPercentWSCAtMaturity,Wheat.Stem.StemWtAtMaturity,Wheat.Stem.WtAtFlowering,Wheat.Structure.FinalLeafNumber,Wheat.Structure.FinalStemNumber,Wheat.Structure.MaximumStemNumber,Zone,Year,TranspirationBeforeFlowering,TranspirationWholeSeason,WaterUptakeWholeSeason,WaterUptakeBeforeFlowering,WaterUptakeFloweringToMaturiy,PAWCAtSowing,PAWAtSowing,PAWCAtMaturity,PAWAtMaturity,RainBeforeFlowering,RainFloweringToMaturity,FWDC31ToFlag,FWDC31ToStart,FWFlagToStart,FWStartToEnd,EnvType,StressTrace_1,StressTrace_2,StressTrace_3,StressTrace_4,StressTrace_5,StressTrace_6,StressTrace_7,StressTrace_8,StressTrace_9,StressTrace_10,StressTrace_11,StressTrace_12,StressTrace_13,StressTrace_14,StressTrace_15,StressTrace_16,StressTrace_17,StressTrace_18
10007,1,1,       Current, 1987-10-30,237.387,416.617,0.361,6269.503,0.024,150.213,0.601,0.546,113,134,194,77,      1987-04-01,           1987-04-01,0.11,0.002,150.093,140.862,13.265,9.639,9.639,Field,1987,34.676,61.211,61.211,34.676,26.535,0.579,0.113,0.579,0.129,140.8,57.5,1,1,1,0.9950416666666667,1,0.9556666666666667,0.8463333333333334,0.916625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1988-11-05,392.697,437.821,0.106,10394.088,0.004,46.582,0.775,0.441,117,138,200,79,      1988-04-01,           1988-04-01,0.115,0,242.668,257.014,14.284,7.887,7.887,Field,1988,57.329,63.682,63.682,57.329,6.353,0.579,0.111,0.579,0.491,275.4,36.6,1,1,1,1,1,0.9662857142857143,0.8218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1989-11-10,209.477,250.476,0.181,5231.478,0.009,45.387,0.243,0.16,123,145,206,76,      1989-04-01,           1989-04-01,0.123,0,124.584,134.635,13.254,10.489,10.489,Field,1989,32.666,38.693,38.693,32.666,6.027,0.579,0.116,0.579,0.44,330.8,19.6,1,1,1,1,1,1,1,0.7444,0.8251428571428572,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1990-11-12,30.785,30.106,0.013,544.721,0.001,0.404,0,0,122,147,208,74,      1990-04-01,           1990-04-01,0.07,0,14.481,15.563,13.068,7.635,25.131,Field,1990,5.824,5.824,5.824,5.824,0,0.579,0.115,0.579,0.404,156.5,58.6,1,1,1,1,1,0.3825,0.3328,0.19083333333333333,0.8436666666666667,0.9233750000000001,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1991-10-31,195.213,220.335,0.145,5271.287,0.006,31.863,0.241,0.142,115,136,197,78,      1991-04-01,           1991-04-01,0.12,0,128.148,139.552,14.198,10.342,10.342,Field,1991,23.909,28.324,28.324,23.909,4.415,0.579,0.11,0.579,0.085,139.3,42.8,0.9493428571428572,0.9735373134328358,1,1,1,0.8638333333333333,0.9582,0.8348333333333333,0.6635,0.512,0.757625,0.972,0.7727142857142857,0.9825714285714285,1,0.9933333333333333,1,1,1,1,1,1,1
10007,1,1,       Current, 1992-11-05,97.271,103.496,0.115,1998.36,0.006,11.948,0.057,0.041,107,125,202,73,      1992-04-01,           1992-04-01,0.157,0,47.094,54.071,13.135,7.224,7.224,Field,1992,23.058,23.924,23.924,23.058,0.866,0.579,0.17,0.579,0.527,153.8,127.3,1,1,1,1,1,0.9974,0.878,0.8894285714285715,0.804625,0.6595714285714286,0.5945714285714285,0.884,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1993-11-11,283.252,287.004,0.081,7885.509,0.003,23.225,0.315,0.14,120,142,208,80,      1993-04-01,           1993-04-01,0.128,0,189.003,211.965,13.168,19.809,19.809,Field,1993,34.072,36.087,36.087,34.072,2.015,0.579,0.114,0.579,0.477,213.20000000000002,43.6,1,1,1,1,1,0.6811666666666667,1,1,1,0.971,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1994-10-27,13.929,13.761,0.006,334.826,0,0.084,0,0,114,134,193,82,      1994-04-01,           1994-04-01,0.03,0,9.315,9.566,14.657,5.805,5.805,Field,1994,3.511,3.511,3.511,3.511,0,0.579,0.11,0.579,0.326,141.3,23,1,1,1,1,1,0.7954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1995-10-30,368.627,396.299,0.083,10748.584,0.003,32.99,0.834,0.393,114,134,195,74,      1995-04-01,           1995-04-01,0.103,0,249.024,264.098,12.573,8.479,10.171,Field,1995,34.729,39.28,39.28,34.729,4.551,0.579,0.114,0.579,0.412,203.2,38,0.9934871794871795,0.9962647058823529,1,1,1,0.5598333333333333,0.9422857142857143,0.431,1,1,1,0.9478888888888889,1,1,0.96825,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1996-11-02,306.893,595.756,0.393,8095.821,0.029,233.957,0.967,0.9,113,134,199,77,      1996-04-01,           1996-04-01,0.086,0,195.514,172.131,14.19,6.875,6.875,Field,1996,37.081,70.502,70.502,37.081,33.421,0.579,0.114,0.579,0.291,184,72.4,1,1,1,1,1,0.3145,0.8834285714285715,0.8412857142857143,0.3752857142857143,0.757,0.9672499999999999,0.7624285714285715,1,1,1,1,1,1,1,1,1,1,1
